"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","JJF2603009","X002J0DH6L","B0GQYBHHTW","6 Pcs Electric Toothbrush Head Covers Compatible with Brush Heads, Plastic Toothbrush Head Protector Cap, Colorful Transparent Dustproof Toothbrush Protective Case for Travel Family","New","40","0","0","44","0","0","0","0","0","GBP","0","1","5","12","Low traffic","4.19","0.0","4.39","0.0","NoRestockExcessActionRequired","40","0.0","0","0","0.0","0.61","0.003531","cubic feet","Standard","0.14124","UK","gl_drugstore","167219","251","0","160","43","4.39","0.0","3.66","19.79","48.91","30","0","14","0","0","0.09","0","0","0","0","4","0","","","","","","","","","","","","","680.0","0","","2026-08-09","680.0","132.6","2026-08-10","40","4","0","0","275","N","","",""
"2026-08-13","JJ2509148","X002E7CCC9","B0FHKRZMD1","Crystal Adjustable Rings Simulation Diamond Rings Girls Finger Ring Toys for Girl Pretend Play Dress up Party, 20Pcs (Random Color)","New","33","0","0","35","0","0","0","0","0","GBP","0","1","11","25","Low traffic","6.49","0.0","6.29","0.0","NoRestockExcessActionRequired","33","0.0","0","0","0.0","0.93","0.005652","cubic feet","Apparel","0.186516","UK","gl_jewelry","161589","366","0","212","27","6.29","0.0","5.57","62.97","143.33","0","20","15","0","0","0.06","20","1","19","0","2","0","","","","","","","","","","","","","1062.0","0","","2026-08-09","1062.0","99.0","2026-08-10","53","2","0","0","366","N","","",""
"2026-08-13","JJ2509207","X002E7JRUJ","B0FJ8LZC6J","2pc Black Momentary Push Button Switches – 12v 5A for Screen Wash/Horn for Kit & Classic Cars","New","4","0","0","4","0","0","0","0","0","GBP","0","5","6","9","Low traffic","4.69","0.0","4.89","0.0","NoRestockExcessActionRequired","4","0.0","0","0","0.0","1.5","0.001738","cubic feet","Standard","0.006952","UK","gl_biss","","34","0","27","49","4.89","0.0","20.35","24.42","37.48","0","4","0","0","0","0.01","30","30","0","0","0","0","","","","","","","","","","","","","83.3","0","","2026-08-09","46.0","83.3","2026-08-10","34","0","0","0","366","N","","",""
"2026-08-13","JJ2510148","X002FQHPKX","B0DBV4RFJ4","JYTDBCS 8pcs Multi Purpose Rubber Spacers,hThickness Rubber Spacers Vibration Damping Pads Rubber Spacer Bushings for Home Car Accessories","New","28","0","0","29","0","0","0","0","0","GBP","5","13","17","28","Low traffic","4.69","0.0","4.69","0.0","NoRestockExcessActionRequired","0","0.0","0","0","125.22","1.58","0.002119","cubic feet","Standard","0.059332","UK","gl_home_improvement","87021","77","0","8","13","4.69","19.55","50.83","66.47","109.48","16","13","0","0","0","0.04","0","0","0","0","1","0","","","","","","","","","","","","","78.3","12","2026-08-30","2026-08-09","77.0","78.3","2026-08-10","28","1","0","0","81","N","","",""
"2026-08-13","JJ2509270-1","X002J5H9ID","B0GRV2RWSM","Leg Lifter Strap, Up Leg and Foot Lifter Mobility Aids, Mobility Aid for Bed, Elderly Aids for Daily Living, for Adult, Senior, Disability(Black)","New","6","0","0","6","0","0","0","0","0","GBP","4","15","25","29","Low traffic","5.09","0.0","5.09","0.0","NoRestockExcessActionRequired","","","0","0","","1.97","0.003531","cubic feet","Standard","0.021186","UK","gl_personal_care_appliances","55330","57","0","9","16","5.09","16.96","63.77","108.19","126.47","0","0","6","0","0","","30","0","30","0","0","0","","","","","","","","","","","","","72.9","23","2026-08-27","2026-08-09","38.0","72.9","2026-08-10","36","0","0","0","57","N","","",""
"2026-08-13","JJ2509102","X002E6XKSF","B0FGPJHFRB","TRHDFW Dog Pill Shooter 2 Pieces Pet Piller Dispenser for Large Medium Breed Dogs up to 45 Pounds White Pill Popper","New","21","0","0","15","6","0","0","0","0","GBP","2","4","7","13","Low traffic","5.69","0.0","5.69","0.0","NoRestockExcessActionRequired","21","0.0","0","0","0.0","0.59","0.00339","cubic feet","Standard","0.07119","UK","gl_pet_products","95001","151","0","21","21","5.69","9.48","18.96","34.51","65.95","0","15","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","183.8","0","","2026-08-09","183.8","144.8","2026-08-10","21","0","0","0","151","N","","",""
"2026-08-13","JJF2509331","X002EESLNB","B0FQHLYK3Z","UMORDUP 2Pcs Red Tartan Bow Hair Clips for Adults, Scottish Plaid Hair Barrettes, Classic Fabric Hair Pins for Daily & Festive Wear","New","29","0","0","30","0","0","0","0","0","GBP","0","0","2","9","Low traffic","6.19","0.0","3.99","0.0","NoRestockExcessActionRequired","29","0.0","0","0","0.0","0.43","0.003531","cubic feet","Standard","0.102399","UK","gl_beauty","75210","","0","","41","3.99","0.0","0.0","6.82","30.69","0","20","10","0","0","0.07","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","189.4","2026-08-10","29","1","0","0","","N","","",""
"2026-08-13","JJ2509248","X002E7OS99","B0FMJZ7N65","Headset Microphone Foam Covers, Soft Foam Windscreen Protector Noise Filter Mini Windscreens Sponge Shields (10 Pack)","New","4","0","0","4","0","0","0","0","0","GBP","4","7","9","12","Low traffic","3.29","0.0","3.29","0.0","CreateShippingPlan","0","3.09","48","0","14.94","0.85","0.009005","cubic feet","Standard","0.03602","UK","gl_musical_instruments","","35","0","2","4","3.29","10.96","19.01","24.15","31.86","0","0","4","0","0","0.01","0","0","0","0","0","0","","","","","","","","","","","","","151.3","6","2026-08-11","2026-08-09","119.3","151.3","2026-08-10","4","0","0","0","35","N","","",""
"2026-08-13","JJ2510196","X002FQOPR9","B0DB5TD8YM","JYTDBCS 25 Pieces Wedding Hair Comb Accessories Metal Comb with 10 Teeth to Hold Hair in Place Suitable for Updo or DIY,hair combs slides for women","New","22","0","0","24","0","0","0","0","0","GBP","4","11","22","31","Low traffic","5.59","0.0","5.59","0.0","NoRestockExcessActionRequired","22","0.0","0","0","0.0","1.4","0.005403","cubic feet","Standard","0.118866","UK","gl_beauty","177897","265","0","26","30","5.59","18.64","51.26","102.16","143.29","0","24","0","0","0","0.07","50","0","50","0","1","0","","","","","","","","","","","","","100.3","0","","2026-08-09","100.3","73.0","2026-08-10","72","1","0","0","269","N","","",""
"2026-08-13","JJ251018","X002FPZGMX","B0D921L2S1","JYTDBCS Motorcycle Handlebar Base Kit with U-Bolt Universal Accessory Black Phone Holder Mount Base","New","18","0","0","18","0","0","0","0","0","GBP","2","9","12","17","Low traffic","5.19","0.0","5.19","0.0","NoRestockExcessActionRequired","0","4.78","52","0","64.67","1.79","0.011968","cubic feet","Standard","0.215424","UK","gl_wireless","","108","0","8","13","5.19","8.64","38.88","51.93","73.47","18","0","0","0","0","0.15","0","0","0","0","0","0","","","","","","","","","","","","","70.0","3","2026-08-30","2026-08-09","70.0","55.9","2026-08-10","18","0","0","0","108","N","","",""
