"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","YH606183","X002MNHZ5J","B0H6SLZQ5B","WVGSXBO Carbon Fibre Car Side Mirror Protector Strips, German Flag Anti Scratch Rearview Mirror Edge Trim Stickers, Automotive Exterior Decor Decals for Car Mirrors","New","1","0","0","1","0","0","0","0","0","GBP","","","","","Low traffic","7.31","0.0","7.31","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.003531","UK","gl_home","","142","0","","","","","","","","1","0","0","0","0","","29","0","0","29","0","0","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","142","N","","",""
"2026-08-13","YH605142","X002LU03TX","B0H3JNH1YW","","New","10","0","0","10","0","0","0","0","0","GBP","","","","","Low traffic","8.07","0.0","8.07","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","","0.03531","UK","","","87","0","","","","","","","","10","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","10","0","0","0","87","N","","",""
"2026-08-13","YH60515","X002LJ0F3X","B0H2H5YGY7","WVGSXBO 2 Pack Fishing Hook Tying Tool, Dual Function Knot Tyer & Hook Protector, Fly Fishing Accessories for Braided Monofilament Lines, Beginner & Professional Anglers","New","2","0","0","3","0","0","0","0","0","GBP","2","8","8","8","Low traffic","4.89","0.0","4.89","0.0","Advertise listing","","","0","0","","1.62","0.003531","cubic feet","Standard","0.007062","UK","gl_sports","87778","201","0","16","52","4.89","8.14","33.58","33.58","33.58","0","3","0","0","0","","30","0","30","0","0","0","","","","","","","","","","","","","63.0","0","","2026-08-09","28.7","63.0","2026-08-10","32","0","0","0","201","N","","",""
"2026-08-13","YH605119","X002LT1WGR","B0H3B277TL","WVGSXBO 2 Pcs Facial Threading Hair Removal Tool, Stainless Steel Spring Manual Epilator, Portable Face Hair Remover for Upper Lip Chin Cheeks Neck (Blue & Pink)","New","1","0","0","1","0","0","0","0","0","GBP","1","9","9","9","Low traffic","6.69","0.0","6.49","0.0","Advertise listing","","","0","0","","1.64","0.003531","cubic feet","","0.003531","UK","gl_personal_care_appliances","127729","3","0","27","88","6.69","5.41","46.94","46.94","46.94","0","1","0","0","0","","60","60","0","0","0","0","","","","","","","","","","","","","34.6","0","","2026-08-09","24.4","34.6","2026-08-10","61","0","0","0","139","N","","",""
"2026-08-13","YH60529","X002LHIOIX","B0H2DD36JB","WVGSXBO 25Pcs Clear Fish Transport Bags, Thickened Tear-Resistant Plastic, Flat Top Fish Bags Transport Pouches for Aquarium Live Fish Transfer","New","6","0","0","6","0","0","0","0","0","GBP","1","3","4","4","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.8","0.003531","cubic feet","Standard","0.021186","UK","gl_home","42254","201","0","33","81","5.69","4.74","14.22","19.29","19.29","0","6","0","0","0","","19","0","19","0","0","0","","","","","","","","","","","","","123.3","0","","2026-08-09","85.0","123.3","2026-08-10","25","0","0","0","201","N","","",""
"2026-08-13","YH60606","X002M51NSR","B0H4QRS18D","","New","9","0","0","10","0","0","0","0","0","GBP","","","","","Low traffic","7.59","0.0","7.59","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.031779","UK","","","118","0","","","","","","","","10","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","","2026-08-10","9","1","0","0","125","N","","",""
"2026-08-13","YH60623","X002M56NC3","B0H4R6VJZ4","","New","10","0","0","10","0","0","0","0","0","GBP","","","","","Low traffic","6.26","0.0","6.26","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.03531","UK","","","183","0","","","","","","","","10","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","10","0","0","0","183","N","","",""
"2026-08-13","YH60511","X002LHEYSR","B0H2CX932F","WVGSXBO 6 Pack Velvet Scrunchies for Women, Soft Jersey Fabric Elastic Hair Bobbles, No Damage Ponytail Holders, 3 Navy + 3 Red Scrunchie Hair Accessories for Ladies","New","3","0","0","3","0","0","0","0","0","GBP","4","7","7","7","Low traffic","5.09","0.0","5.09","0.0","Advertise listing","","","0","0","","1.29","0.003531","cubic feet","Standard","0.010593","UK","gl_beauty","82392","22","0","36","117","5.09","16.96","30.27","30.27","30.27","0","3","0","0","0","","60","60","0","0","1","0","","","","","","","","","","","","","123.8","0","","2026-08-09","64.0","123.8","2026-08-10","63","1","0","0","366","N","","",""
"2026-08-13","YH60531","X002LJ0M31","B0H2HBMTBY","WVGSXBO 4Pcs Eyeglass Temple Pads, Soft Knitted Cotton Anti-Slip Glasses Protector Sleeves, Comfort Ear Cushions for Sunglasses Reading Glasses Adult Daily Wear (Black)","New","2","0","0","2","0","0","0","0","0","GBP","0","6","8","8","Low traffic","4.79","0.0","4.79","0.0","Advertise listing","","","0","0","","2.4","0.003531","cubic feet","Standard","0.007062","UK","gl_drugstore","126696","7","0","41","100","4.79","0.0","22.8","30.58","30.58","0","2","0","0","0","","60","60","0","0","0","0","","","","","","","","","","","","","48.6","0","","2026-08-09","27.3","48.6","2026-08-10","62","0","0","0","187","N","","",""
"2026-08-13","YH60686","X002MAR55R","B0H5JQVDZT","WVGSXBO 3 Pack Gold Leaf U-Shaped Hair Pins, Boho Wedding Hair Accessories for Women, Bridal Hair Pieces for Bridesmaids Prom Party Updo Styling","New","30","0","0","30","0","0","0","0","0","GBP","","","","","Low traffic","7.59","0.0","7.59","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.10593","UK","gl_beauty","","173","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","173","N","","",""
