"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","DJM266414","X002MR7DYN","B0H6Q7C412","KSEWJP 10 Stück Weiße Ventilkappen für Presta Französisch & Dunlop Ventile MTB Rennrad Staubschutz Abdeckung","New","11","19","0","30","0","0","0","0","0","EUR","","","","","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0011","DE","gl_automotive","","","0","","","5.69","","","","","30","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","1","0","0","","N","","",""
"2026-08-13","DJM266344","X002MNYDJF","B0H6LQ6FSJ","KSEWJP Silberne Maskerade Maske Erwachsene, Klassischer Venezianischer Halbgesichtsmaske Unisex, Elegante Augenmaske für Halloween Karneval Cosplay Party Kostüm Zubehör","New","30","0","0","28","0","0","0","0","0","EUR","","","","","Low traffic","5.21","0.0","5.21","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_toy","","","0","","","","","","","","28","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","Y","Halloween","2026-09-26","2026-11-06"
"2026-08-13","DJM26631","X002M8JT9T","B0H4ZS7JF1","","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.59","0.0","7.59","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266403","X002MO0GDB","B0H6G3RRR4","10 Stück M8 Edelstahl Handfestziehen Flügelschrauben (16 mm)","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","10.09","0.0","10.09","0.0","Advertise listing","","","0","0","","0.0","1.8E-5","cubic meter","Standard","5.4E-4","DE","gl_biss","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","1","0","0","","N","","",""
"2026-08-13","DJM26605","X002MCYV1V","B0H4Z26MH8","KSEWJP Eierstecher aus Edelstahl, Manueller Eieröffner, Spülmaschinenfest Eierköpfer, Praktischer Küchenhelfer für rohe, weiche und hart gekochte Eier","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.99","0.0","7.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266118","X002MGKHOR","B0H5VYG3G1","KSEWJP Große Schleife Haarspange mit langem Schwanz Französisches Band Weiche Seidige Satin Haarnadel Metall Bogenknoten Clip 90er Retro Accessoire für Damen (Marineblau)","New","0","30","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.09","0.0","6.09","0.0","NoRestockExcessActionRequired","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26688","X002MFPETL","B0H5Q8DYW7","KSEWJP Venezianische Maske für Erwachsene, PVC Karnevalsmaske mit Glitzerpulver, Vintage Stil für Halloween, Karneval, Kostümpartys und Cosplay, 25 x 0,1 x 10 cm, Schwarz A","New","13","17","0","30","0","0","0","0","0","EUR","","","","","Low traffic","11.99","0.0","11.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0013","DE","gl_toy","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","1","0","0","","Y","Halloween","2026-09-26","2026-11-06"
"2026-08-13","DJM266132","X002MGKRFV","B0H5WGKDCC","KSEWJP 4-in-1 Multifunktionaler Eierschneider aus Edelstahl, Dunkelblau 20×7×2 cm, Manueller Lebensmittelschneider für Eier, Erdbeeren, Kirschen, Oliven und Datteln","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","11.63","0.0","11.63","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266336","X002MNYDC7","B0H6J9WN9S","KSEWJP Haarspange mit Großer Pailletten-Schleife, Glitzernde Festliche Haarschleife mit Langem Schwanz für Damen, Elegantes Haarschmuck für Alle Haartypen (Gold)","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26681","X002MI1NZ7","B0H6B4FTGX","KSEWJP Kinderwagen Haken 2 Stück, universaler Taschenhaken mit Klettverschluss, drehbarer Kinderwagenanhänger für Wickeltaschen, Einkaufstaschen und Handtaschen","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_home_improvement","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
