"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","DLH250896","X002DPKRYR","B0FMK771FK","Fahrrad-Lenkergriffe, weich, rutschfest, für Kinderfahrrad, Roller, Lenkergriffe, Gummigriffabdeckung, universelle Kinder-Fahrradgriffe für Kinder, Jungen, Mädchen","New","55","6","0","63","0","0","0","0","0","EUR","0","1","15","32","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","27","4.64","15","0","42.01","2.06","1.96E-4","cubic meter","Standard","0.010781","DE","gl_outdoors","224341","366","0","540","54","5.69","0.0","4.78","71.54","151.44","63","0","0","0","0","0.15","80","40","40","0","2","1","","","","","","","","","","","","","29.0","13","","0","","2026-08-10","Yes","No","29.0","15.0","2026-08-10","141","1","1","0","366","N","","",""
"2026-08-13","RPALHDE085","X002GU8JCL","B0G5WFHS9L","2× VW Golf 7 Zubehör Schlüsselgehäuse 3 Tasten Gummi Ersatz Schlüsselhülle Cover Auto Golf 7 Polo Golf VII MQB Schlüsselanhänger Ersatz Funkschlüssel","New","24","0","0","23","2","0","0","0","0","EUR","1","6","6","8","Low traffic","5.39","0.0","5.39","0.0","Create Outlet deal","0","4.31","2","0","93.5","0.37","1.0E-4","cubic meter","Standard","0.0024","DE","gl_automotive","170278","201","24","16","39","5.39","4.53","27.18","27.18","37.58","3","20","0","0","0","0.06","0","0","0","0","0","0","","","","","","","","","","","","","219.1","1","","0","","2026-08-10","Yes","No","165.2","219.1","2026-08-10","24","0","0","0","201","N","","",""
"2026-08-13","DLH250886","X002DQE6PH","B0FMF5Z5PB","Cocktailspieße, 100 Stück, Holz-Zahnstocher, Partyzubehör, Rüschen, Fingerfood, Obst, Sandwich-Knabbereien – rosa Herzen","New","2","0","0","0","0","2","0","0","0","EUR","0","4","6","9","Low traffic","5.99","0.0","5.99","0.0","Create Outlet deal","0","5.12","2","0","10.32","1.33","1.0E-4","cubic meter","Standard","2.0E-4","DE","gl_kitchen","965859","366","0","62","89","5.99","0.0","20.12","31.05","47.86","0","0","0","2","0","0.01","60","15","45","0","0","0","","","","","","","","","","","","","64.4","7","Low stock","0","","2026-08-10","Yes","No","23.3","64.4","2026-08-10","62","0","0","0","366","N","","",""
"2026-08-13","DLH250870","X002DP4B7V","B0FMJJJPKP","Seifenhalter zum Anklippen, kompatibel mit 22 mm Stange, ABS-Schale für Dusche, 360° verstellbare Chromwanne für Küche, Badezimmer, Waschbecken (schwarz)","New","20","0","0","20","0","0","0","0","0","EUR","2","3","6","8","Low traffic","8.34","0.0","8.34","0.0","Create Outlet deal","0","6.83","2","0","134.69","1.78","1.0E-4","cubic meter","Standard","0.002","DE","gl_home","409126","224","0","26","32","8.34","14.02","21.03","42.57","56.93","20","0","0","0","0","0.05","0","0","0","0","0","1","","","","","","","","","","","","","","12","","0","","","","","","29.4","2026-08-10","20","0","0","0","224","N","","",""
"2026-08-13","RPALHDE154","X002H3A52T","B0G8SM6CW3","CVNRCLP Kettenaufhänger, Schmuckaufbewahrung, Kettenhalter, Ketten Aufbewahrung Hängend, Schmuckhalter Wand, Schmuck Organizer für Halsketten, Armbänder (Transparentes Acryl, 2PCS)","New","34","0","0","20","14","0","0","0","0","EUR","0","0","3","6","Low traffic","7.35","0.0","7.35","0.0","Create Outlet deal","8","6.04","2","0","45.47","0.29","1.0E-4","cubic meter","Standard","0.0034","DE","gl_home","1101770","342","26","","73","7.35","0.0","0.0","19.02","38.25","20","0","0","0","0","0.08","0","0","0","0","0","0","","","","","","","","","","","","","461.0","2","","0","","2026-08-10","Yes","No","461.0","289.0","2026-08-10","34","0","0","0","342","N","","",""
"2026-08-13","RPALHDE099","X002GTBF2X","B0G5PFBPXP","2 Stück Textur Kamm Volumen Kamm Mit Styling Zahnkamm Für Pflege Volumen Für Die Haarwurzeln Mit Ponyansatz Pflegen,Lifting Haarwurzeln Haarbürste für Männer und Frauen","New","20","0","0","0","21","0","0","0","0","EUR","1","5","8","8","Low traffic","4.39","0.0","4.39","0.0","Create Outlet deal","0","3.51","2","0","81.03","0.29","0.002009","cubic meter","Standard","0.040182","DE","gl_beauty","152038","118","20","16","32","4.39","3.69","18.45","30.86","30.86","0","0","0","0","0","0.05","0","0","0","0","1","1","","","","","","","","","","","","","299.0","3","","0","","2026-08-10","Yes","No","142.4","299.0","2026-08-10","20","0","1","0","124","N","","",""
"2026-08-13","RPALHDE055","X002GTLP3R","B0G5PYCW69","CVNRCLP Fish Key Ring, Gift for Fishing Lovers, Key Ring Fishing with Engraving, Fish Pendant for Men Women, Gifts for Women for Birthday, Valentine's Day, Christmas","New","3","0","0","0","0","3","0","0","0","EUR","0","2","4","4","Low traffic","3.59","0.0","3.59","0.0","Create Outlet deal","0","2.87","2","0","49.84","0.73","1.0E-4","cubic meter","Apparel","3.0E-4","DE","gl_apparel","963116","366","23","46","74","3.59","0.0","6.04","12.24","12.24","0","0","0","3","0","0.04","20","0","20","0","0","0","","","","","","","","","","","","","129.5","3","","0","","2026-08-10","Yes","No","51.0","129.5","2026-08-10","23","0","0","0","366","N","","",""
"2026-08-13","DLH251102","X002GG6O3B","B0G3F1HB12","CVNRCLP Damen Fischerhut Sonnenhut mit breiter Krempe, Ultraleicht & Faltbar, Atmungsaktiv, Für Strand, Reise & Alltag, Weiß","New","3","0","0","2","0","1","0","0","0","EUR","0","3","12","17","Low traffic","10.79","0.0","10.79","0.0","Create Outlet deal","0","8.79","2","0","116.37","1.57","0.004516","cubic meter","Apparel","0.013549","DE","gl_apparel","735773","366","0","65","37","10.79","0.0","27.21","110.37","156.57","1","1","0","1","0","0.25","46","0","46","0","0","0","","","","","","","","","","","","","72.0","4","Low stock","0","","2026-08-10","Yes","No","72.0","60.5","2026-08-10","49","0","0","0","366","N","","",""
"2026-08-13","RPALHDE066","X002GWNDOD","B0G6BC1BN5","CVNRCLP Saugnapf-haken-clip-halter 5 Stück Saugnapf Mit Klemmen Für Aquarium Haken Clip Halter Parkscheinhalter Multifunktions-clip Für Glaswand Für Bad Büro Küche ﻿","New","55","1","0","56","0","0","0","0","0","EUR","8","16","36","63","Low traffic","7.09","0.0","7.09","0.0","Create Outlet deal","0","5.67","2","0","237.98","1.74","1.0E-4","cubic meter","Standard","0.005499","DE","gl_home_improvement","415382","104","0","13","11","7.15","47.68","95.36","214.56","375.48","41","1","14","0","0","0.14","0","0","0","0","0","0","","","","","","","","","","","","","60.9","35","","0","","2026-08-10","Yes","No","60.9","49.6","2026-08-10","56","0","0","0","104","N","","",""
"2026-08-13","RPALHDE071","X002GSZBV5","B0G5LTS8YH","CVNRCLP 2pcs Tennis SchlüSselanhäNger Tennis Geschenke, Tennisball SchlüSselanhäNgers, Taschen AnhäNger, Handball SchlüSselanhäNger MäNner, Tennis ZubehöR Herren, Leichtathletik Geschenke","New","13","0","0","13","0","0","0","0","0","EUR","0","2","3","3","Low traffic","4.69","0.0","4.69","0.0","Create Outlet deal","0","3.75","2","0","81.59","0.25","1.0E-4","cubic meter","Apparel","0.0013","DE","gl_apparel","927251","366","0","26","56","4.69","0.0","7.88","12.33","12.33","0","13","0","0","0","0.02","0","0","0","0","0","0","","","","","","","","","","","","","411.3","1","","0","","2026-08-10","Yes","No","232.5","411.3","2026-08-10","13","0","0","0","366","N","","",""
