"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","LH51111","X002FQ9FIX","B0DBVCPRGV","JYTDBCS Mini Moto Pull Start Pull Starter 49CC Mini Alloy Pull Starter Part Recoil Moto Start For 49CC Mini Pocket Dirt Bike Atv Quad Black","New","24","0","0","26","0","0","0","0","0","GBP","5","39","63","83","","8.49","0.0","8.49","0.0","NoRestockExcessActionRequired","24","0.0","0","0","0.0","6.0","0.039228","cubic feet","Standard","0.941472","UK","gl_automotive","49098","140","0","9","14","8.49","35.35","275.73","445.41","583.93","26","0","0","0","0","0.59","70","0","70","0","2","4","","","","","","","","","","","","","18.6","0","","2026-08-09","17.6","18.6","2026-08-10","94","2","0","0","144","N","","",""
"2026-08-13","LH51152","X002FQ9SWV","B0DBPSNFSB","JYTDBCS Butterfly Comb, Foldable Hair Comb, Beard Comb, Practice Butterfly Comb, Flipping Trick Comb, Stainless Steel Hair Comb, Butterfly Hair Comb for Beginner, Salon Beauty Tool, for Trainer Lover","New","77","0","0","70","7","0","0","0","0","GBP","0","0","5","24","Low traffic","6.99","0.0","6.99","0.0","NoRestockExcessActionRequired","77","0.0","0","0","0.0","0.49","0.003836","cubic feet","Standard","0.295372","UK","gl_beauty","200711","258","0","","41","6.99","0.0","0.0","32.11","152.19","0","50","20","0","0","0.18","0","0","0","0","0","0","","","","","","","","","","","","","2311.0","0","","2026-08-09","2311.0","164.6","2026-08-10","77","0","0","0","258","N","","",""
"2026-08-13","LH51177","X002FQFQ63","B0DBQM76S1","JYTDBCS 2pcs Universal Meat Grill Thermometer Probe Clip Holder for Ambient Temperature Readings BBQ Grill Oven Smoker","New","45","0","0","45","0","0","0","0","0","GBP","1","5","14","17","Low traffic","5.19","0.0","5.19","0.0","Advertise listing","45","0.0","0","0","0.0","0.65","9.34E-4","cubic feet","Standard","0.04203","UK","gl_biss","84994","327","0","60","57","5.19","4.32","22.11","62.52","75.99","31","1","13","0","0","0.03","30","0","30","0","0","0","","","","","","","","","","","","","121.7","0","","2026-08-09","95.9","121.7","2026-08-10","75","0","0","0","327","N","","",""
"2026-08-13","LH601122-1","X002J77URB","B0GS2W27D5","15ml Stainless Steel Measuring Spoon, Gold Finished Precision Scoop for Collagen Powder, Coffee, Protein Supplements, Durable Kitchen Measuring Tool for Accurate Servings","New","5","0","0","0","5","0","0","0","0","GBP","0","2","10","10","Low traffic","4.79","0.0","4.79","0.0","NoRestockExcessActionRequired","0","0.0","0","0","11.9","0.95","0.003531","cubic feet","Standard","0.017655","UK","gl_kitchen","1034318","244","25","50","32","4.79","0.0","7.98","41.26","41.26","0","0","0","0","0","0.01","20","0","20","0","0","0","","","","","","","","","","","","","99.3","0","","2026-08-09","85.0","99.3","2026-08-10","25","0","0","0","244","N","","",""
"2026-08-13","LH101627","X0023YC3JF","B0DDXCJ1Z4","CVNRCLP 4 Pack Universal Black Golf Shoe Spikes Removal Tool – Handheld Wrench for Two-Pin Golf & Cricket Shoes | Easy Spike Change Tool","New","50","0","0","58","0","0","0","0","0","GBP","1","3","6","22","Low traffic","5.39","0.0","5.39","0.0","NoRestockExcessActionRequired","0","0.0","0","0","192.37","1.0","0.012078","cubic feet","Standard","0.6039","UK","gl_home_improvement","131897","366","0","66","29","5.39","4.49","13.47","26.94","98.95","40","18","0","0","0","0.42","0","0","0","0","8","0","","","","","","","","","","","","","801.0","0","","2026-08-09","801.0","95.6","2026-08-10","50","8","0","0","366","N","","",""
"2026-08-13","LH51116","X002FQEIRV","B0DB21ZC5F","JYTDBCS Non-Pierced Clip-On Cross Dangle Drop Hoop Hinged Earrings Set for Men Women No Piercing Ear Plug Jewelry, 3 Pairs","New","51","0","0","55","0","0","0","0","0","GBP","7","32","46","63","Low traffic","6.99","0.0","6.99","0.0","NoRestockExcessActionRequired","50","0.0","0","0","0.0","2.0","0.001695","cubic feet","Apparel","0.086445","UK","gl_jewelry","83557","103","0","10","16","6.99","40.74","186.24","268.23","366.31","50","5","0","0","0","0.05","30","0","30","0","1","0","","","","","","","","","","","","","70.2","0","","2026-08-09","70.2","52.5","2026-08-10","81","1","0","0","104","N","","",""
"2026-08-13","LH601164","X002HTOIFN","B0FQ5DSRC6","UMORDUP 25Pcs Silver Duck Bill Hair Clips Rustproof Metal Alligator Curl Clips with Holes for Hair Styling Salon DIY Hair Accessories","New","25","0","0","0","25","0","0","0","0","GBP","0","0","0","0","Low traffic","4.59","0.0","4.09","0.0","Lower price","0","3.99","49","0","110.32","0.0","0.003531","cubic feet","Standard","0.088275","UK","gl_beauty","143929","","25","","","4.09","0.0","0.0","0.0","0.0","0","0","0","0","0","0.06","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","25","0","0","0","","N","","",""
"2026-08-13","LH601031","X002HS72GV","B0FGCZ1K2S","Flat Top Kabuki Foundation Brush - Premium Makeup for Liquid Foundation, Cream, and Powder - Buffing, Blending Brush, Face","New","24","0","0","20","4","0","0","0","0","GBP","1","5","8","11","Low traffic","4.96","0.0","4.96","0.0","NoRestockExcessActionRequired","0","0.0","0","0","111.17","0.73","0.001677","cubic feet","Standard","0.040248","UK","gl_beauty","140101","118","24","19","28","4.96","4.13","20.65","33.21","46.62","20","0","0","0","0","0.03","0","0","0","0","0","0","","","","","","","","","","","","","118.1","0","","2026-08-09","95.5","118.1","2026-08-10","24","0","0","0","118","N","","",""
"2026-08-13","LH101532","X0023RW8QP","B0DDJ8LRY2","3 Pics Ergonomic Safe Manual Metal Can Opener - Side Cutting Tin Lid Remover with Steel Handle and Wood Grip - Professional Kitchen Tool for Effortless Openings","New","8","0","0","10","0","0","0","0","0","GBP","1","5","14","25","Low traffic","5.39","0.0","5.39","0.0","CreateShippingPlan","9","0.0","0","0","0.0","1.85","0.010171","cubic feet","Standard","0.081368","UK","gl_kitchen","430854","148","0","22","14","5.39","4.49","22.45","64.39","117.41","0","10","0","0","0","0.05","20","0","20","0","1","0","","","","","","","","","","","","","101.8","0","","2026-08-09","101.8","72.4","2026-08-10","28","1","0","0","155","N","","",""
"2026-08-13","LH601247","X002HT4R0T","B0D9JZX9VZ","JYTDBCS Rabbits Harness With Elastic Lead, Adjustable Rabbit Harness And Lead Set, Mesh Vest For Hamsters Small Cats Guinea Pig Walking, Rabbit Harness And Lead Set","New","9","0","0","0","9","0","0","0","0","GBP","1","2","3","3","Low traffic","5.69","0.0","5.69","0.0","NoRestockExcessActionRequired","0","0.0","0","0","35.58","0.26","0.018364","cubic feet","Standard","0.165276","UK","gl_pet_products","66384","105","9","18","39","5.79","4.74","9.48","14.22","14.22","0","0","0","0","0","0.09","0","0","0","0","0","0","","","","","","","","","","","","","342.7","0","","2026-08-09","159.0","342.7","2026-08-10","9","0","0","0","105","N","","",""
